rad	period	x err	y err
-1.132028323	1.73	0.05	0.0020833
-1.065471994	1.73	0.05	0.0020833
-1.015625432	1.67	0.05	0.0020833
-0.976348576	1.73	0.05	0.0020833
-0.956132445	1.67	0.05	0.0020833
-0.927453218	1.67	0.05	0.0020833
-0.914752468	1.69	0.05	0.0020833
-0.877505428	1.68	0.05	0.0020833
-0.84982453	1.65	0.05	0.0020833
-0.825208427	1.68	0.05	0.0020833
-0.799950043	1.67	0.05	0.0020833
-0.774958695	1.64	0.05	0.0020833
-0.75179645	1.67	0.05	0.0020833
-0.732763	1.637876	0.05	0.0020833
-0.726145367	1.65	0.05	0.0020833
-0.711536974	1.65	0.05	0.0020833
-0.703919	1.651276	0.05	0.0020833
-0.688653981	1.63	0.05	0.0020833
-0.688143	1.629338	0.05	0.0020833
-0.681246	1.628185	0.05	0.0020833
-0.666712	1.647589	0.05	0.0020833
-0.639946	1.646587	0.05	0.0020833
-0.631779	1.63549	0.05	0.0020833
-0.590557	1.625727	0.05	0.0020833
-0.574835	1.617699	0.05	0.0020833
-0.563943	1.61244	0.05	0.0020833
-0.515487	1.61096	0.05	0.0020833
-0.487492738	1.61	0.05	0.0020833
-0.482865	1.613729	0.05	0.0020833
-0.482352747	1.64	0.05	0.0020833
-0.468697303	1.6	0.05	0.0020833
-0.458527278	1.64	0.05	0.0020833
-0.451661158	1.61	0.05	0.0020833
-0.443276604	1.6	0.05	0.0020833
-0.434546474	1.62	0.05	0.0020833
-0.427580871	1.62	0.05	0.0020833
-0.419383066	1.6	0.05	0.0020833
-0.407392665	1.59	0.05	0.0020833
-0.407392665	1.64	0.05	0.0020833
-0.393316596	1.58	0.05	0.0020833
-0.388956767	1.63	0.05	0.0020833
-0.376242054	1.59	0.05	0.0020833
-0.376242054	1.63	0.05	0.0020833
-0.37344953	1.58	0.05	0.0020833
-0.366353027	1.61	0.05	0.0020833
-0.360101263	1.6	0.05	0.0020833
-0.35204483	1.64	0.05	0.0020833
-0.348123079	1.58	0.05	0.0020833
-0.338707035	1.6	0.05	0.0020833
-0.332580935	1.57	0.05	0.0020833
-0.332580935	1.57	0.05	0.0020833
-0.331682091	1.61	0.05	0.0020833
-0.331682091	1.61	0.05	0.0020833
-0.322976396	1.62	0.05	0.0020833
-0.322976396	1.62	0.05	0.0020833
-0.31692709	1.59	0.05	0.0020833
-0.311647473	1.6	0.05	0.0020833
-0.3090225	1.58	0.05	0.0020833
-0.307726573	1.612814564	0.05	0.0020833
-0.299754549	1.598004338	0.05	0.0020833
-0.297106564	1.609604736	0.05	0.0020833
-0.288632887	1.589697095	0.05	0.0020833
-0.279387478	1.59992237	0.05	0.0020833
-0.269160154	1.582485106	0.05	0.0020833
-0.266065622	1.600776522	0.05	0.0020833
-0.254878296	1.598172761	0.05	0.0020833
-0.252955843	1.607480185	0.05	0.0020833
-0.240064983	1.610357294	0.05	0.0020833
-0.225644463	1.586106654	0.05	0.0020833
-0.216197847	1.608272623	0.05	0.0020833
-0.210831884	1.588653397	0.05	0.0020833
-0.210436218	1.589240412	0.05	0.0020833
-0.203286805	1.598776412	0.05	0.0020833
-0.201195567	1.60521088	0.05	0.0020833
-0.198359285	1.606771067	0.05	0.0020833
-0.192211657	1.609227491	0.05	0.0020833
-0.172783902	1.605476774	0.05	0.0020833
-0.170947	1.591669	0.05	0.0020833
